company_name,address,street,business_ownership,business_type,naics_description,sic_description,sales,rent_expenses,sq_footage,latitude,longitude
Rl Bolea Inc,1209 4th Ave,4th Avenue,Private,Automotive,Petroleum And Petroleum Products Merchant Wholesal,Oils-Fuel (Whls),132733000,100k-250k,20000-39999,40.517215,-80.160043
Kuhlman's Lawnmowers Sales,1233 State Ave,State Avenue,Private,Home Remodel & Repair,Outdoor Power Equipment Stores,Lawn & Garden Equip & Supplies-Retail,334000,Less than 10k,1-1499,40.515395,-80.160115
Stay Gold Tattoo,1207 4th Ave,4th Avenue,Private,Salons & Holistic Wellness Services,Other Personal Care Services,Tattooing,43000,Less than 10k,1-1499,40.51723,-80.160193
Bachmans Builders Inc,1200 4th Ave,4th Avenue,Private,Professional Service & Consulting,Commercial And Institutional Building Construction,Building Contractors,2410000,10k-25k,2500-4999,40.516987,-80.160607
Suburban Landscape-Floral Shpp,1210 5th Ave,5th Avenue,Private,Retail,Florists,Florists-Retail,353000,10k-25k,1500-2499,40.515915,-80.160703
Presbyterian Church-Coraopolis,1201 5th Ave,5th Avenue,Private,Religious Organization,Religious Organizations,Churches,0,,20000-39999,40.516431,-80.16072
Aero Tech Designs,1132 4th Ave,4th Avenue,Private,Retail,Clothing Accessories Stores,Fashion Designers,1768000,25k-50k,5000-9999,40.51722,-80.160927
Bolea Oil,1101 4th Ave,4th Avenue,Private,Automotive,General Automotive Repair,Automobile Repairing & Service,129000,Less than 10k,1-1499,40.51786,-80.161697
Goodyear Auto Svc Ctr,1101 4th Ave,4th Avenue,Branch of Public Company,Automotive,General Automotive Repair,Automobile Repairing & Service,1028000,Less than 10k,1-1499,40.51786,-80.161697
Pro Tech Automotive,1101 4th Ave,4th Avenue,Private,Automotive,Tire Dealers,Tire-Dealers-Retail,3401000,100k-250k,40000-99999,40.51786,-80.161697
Protech Auto Group Inc-Crpls,1101 4th Ave,4th Avenue,Private,Automotive,All Other Automotive Repair And Maintenance,Tire Service,1271000,Less than 10k,1-1499,40.51786,-80.161697
Wine & Sprits Stores,1110 4th Ave,4th Avenue,Private,Retail,"Beer, Wine, And Liquor Stores",Liquors-Retail,1845000,Less than 10k,1-1499,40.517331,-80.161734
Kitchen Innovations,1108 4th Ave,4th Avenue,Private,Home Remodel & Repair,Wood Kitchen Cabinet And Countertop Manufacturing,Kitchen Cabinets & Equipment-Household,778000,Less than 10k,1500-2499,40.517373,-80.16184
Heritage Valley Health System,1105 5th Ave,5th Avenue,Private,Healthcare,Direct Health And Medical Insurance Carriers,Hospital & Medical Service Plans,8509000,50k-100k,5000-9999,40.51698,-80.162232
Recognition Award & Trophy,1105 5th Ave,5th Avenue,Private,Retail,All Other Miscellaneous Store Retailers (Except To,Trophies Awards & Medals,265000,Less than 10k,2500-4999,40.51698,-80.162232
Pizza Plaza,1110 5th Ave,5th Avenue,Private,Restaurants & Taverns,Full-Service Restaurants,Pizza,102000,Less than 10k,1500-2499,40.51642,-80.162332
Tiffany R Battaglini Ins,1108 5th Ave,5th Avenue,Private,"Financial, Insurance & Notary Services",Insurance Agencies And Brokerages,Insurance,155000,Less than 10k,1500-2499,40.516556,-80.162373
Coraopolis Medical Ctr,1101 5th Ave # 3,5th Avenue,Private,Healthcare,Offices Of Dentists,Dentists,451000,,,40.51705,-80.162393
Coraopolis Medical Ctr,1101 5th Ave # B,5th Avenue,Private,Healthcare,Offices Of Dentists,Dentists,451000,,1500-2499,40.51705,-80.162393
Heritage Valley Medical Group,1101 5th Ave,5th Avenue,Private,Healthcare,All Other Miscellaneous Ambulatory Health Care Ser,Physicians & Surgeons Information Bureau,1937000,25k-50k,20000-39999,40.51705,-80.162393
Heritage Valley Medical Group,1101 5th Ave # 2,5th Avenue,Private,Healthcare,Offices Of Physicians (Except Mental Health Specia,Physicians & Surgeons,506000,,,40.51705,-80.162393
C M Technologies Inc,1026 4th Ave,4th Avenue,Private,Laboratory,Testing Laboratories,Electrical Power Systems-Testing,0,,1-1499,40.517647,-80.162499
D J Hess Advertising,1100 5th Ave,5th Avenue,Private,Professional Service & Consulting,Other Services Related To Advertising,Advertising NEC,432000,10k-25k,5000-9999,40.516661,-80.162646
